File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location
2011-06335,8/17/2011 19:30,08/17/2011 15:00 - 19:00,Mal. Dest. Property,203,MIT,"0 AMES STREET, Cambridge, MA"
2011-06336,8/17/2011 20:08,08/17/2011 16:30 - 19:45,Larceny of Bicycle,202,MIT,"AMES STREET & MAIN STREET, Cambridge, MA"
2011-06337,8/17/2011 20:28,08/17/2011 19:00 - 19:05,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06338,8/17/2011 20:22,08/08/2011 20:58 - 08/17/2011 20:58,Forgery,504,Cambridgeport,"100 FRANKLIN STREET, Cambridge, MA"
2011-06339,8/17/2011 20:05,08/17/2011 19:00 - 20:00,Larceny from Person,708,Riverside,"1300 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06340,8/17/2011 21:31,08/17/2011 20:45 - 21:45,Larceny from MV,408,Area 4,"BISHOP ALLEN DRIVE & SCHOOL STREET, Cambridge, MA"
2011-06341,8/17/2011 22:01,08/17/2011 21:55 - 22:01,Larceny from MV,1008,West Cambridge,"0 GIBSON TERRACE, Cambridge, MA"
2011-06342,8/16/2011 23:32,08/16/2011 23:20 - 23:30,Simple Assault,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06344,8/17/2011 23:17,08/17/2011 18:00 - 23:00,Larceny of Bicycle,1002,West Cambridge,"0 BENNETT STREET, Cambridge, MA"
2011-06345,8/17/2011 23:52,8/17/2011 23:51,Warrant Arrest,902,Peabody,"1600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06347,8/18/2011 1:46,08/18/2011 01:30 - 01:45,Larceny of Bicycle,1107,North Cambridge,"200 RINDGE Avenue, Cambridge, MA"
2011-06349,8/18/2011 6:49,08/18/2011 01:00 - 05:30,Auto Theft,104,East Cambridge,"100 GORE STREET, Cambridge, MA"
2011-06350,8/18/2011 6:58,08/18/2011 05:45 - 06:45,Housebreak,506,Cambridgeport,"100 MAGAZINE STREET, Cambridge, MA"
2011-06354,8/18/2011 11:16,08/14/2011 13:00 - 14:00,Larceny from Building,101,East Cambridge,"0 EDUCATION STREET, Cambridge, MA"
2011-06355,8/18/2011 11:00,08/17/2011 19:15 - 19:45,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06356,8/18/2011 11:39,8/18/2011 11:39,Warrant Arrest,409,Area 4,"BROADWAY & Sennott Park, Cambridge, MA"
2011-06357,8/18/2011 11:04,08/18/2011 11:00 - 11:05,Threats,1002,West Cambridge,"1400 Massachusetts Avenue, Cambridge, MA"
2011-06358,8/18/2011 12:05,08/18/2011 12:00 - 12:46,Warrant Arrest,305,Inman/Harrington,"1000 CAMBRIDGE STREET, Cambridge, MA"
2011-06360,8/18/2011 13:22,08/18/2011 13:15 - 14:15,Threats,601,Mid-Cambridge,"800 Massachusetts Avenue, Cambridge, MA"
2011-06361,8/18/2011 14:15,8/18/2011 14:15,Forgery,501,Cambridgeport,"600 Massachusetts Avenue, Cambridge, MA"
2011-06362,8/18/2011 13:55,8/18/2011 14:23,Weapon Violations,502,Cambridgeport,"100 SIDNEY STREET, Cambridge, MA"
2011-06363,8/18/2011 16:12,08/18/2011 15:50 - 16:00,Larceny from Person,105,East Cambridge,"CHARLES STREET & SIXTH STREET, Cambridge, MA"
2011-06365,8/18/2011 16:35,8/18/2011 14:30,Forgery,610,Mid-Cambridge,"100 AMORY STREET, Cambridge, MA"
2011-06366,8/18/2011 18:32,08/17/2011 20:00 - 21:00,Larceny from MV,105,East Cambridge,"BENT STREET & FIFTH STREET, Cambridge, MA"
2011-06367,8/18/2011 19:07,8/18/2011 19:07,Simple Assault,107,East Cambridge,"0 THORNDIKE STREET, Cambridge, MA"
2011-06368,8/18/2011 19:36,8/18/2011 19:36,Harassment,403,Area 4,"0 NEWTOWNE COURT, Cambridge, MA"
2011-06369,8/18/2011 19:39,08/18/2011 19:30 - 19:50,Domestic Dispute,602,Mid-Cambridge,"0 LEE STREET, Cambridge, MA"
2011-06370,8/18/2011 19:42,08/17/2011 20:30 - 08/18/2011 06:00,Auto Theft,1010,West Cambridge,"0 GARDEN STREET, Cambridge, MA"
2011-06371,8/18/2011 22:14,08/18/2011 21:30 - 22:00,Larceny from Person,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06374,8/18/2011 22:50,08/18/2011 19:40 - 22:50,Larceny from MV,407,Area 4,"MAIN STREET & OSBORN STREET, Cambridge, MA"
2011-06375,8/18/2011 23:25,8/18/2011 23:25,Aggravated Assault,608,Mid-Cambridge,"800 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06376,8/19/2011 0:24,8/19/2011 0:24,Hit and Run,804,Agassiz,"0 Exeter Park, Cambridge, MA"
2011-06378,8/19/2011 5:24,8/19/2011 5:23,Street Robbery,1006,West Cambridge,"Buckingham STREET & Healey STREET, Cambridge, MA"
2011-06380,8/19/2011 7:07,08/18/2011 20:00 - 08/19/2011 06:30,Commercial Break,1202,Highlands,"100 SMITH PLACE, Cambridge, MA"
2011-06381,8/19/2011 7:23,08/18/2011 22:00 - 08/19/2011 07:40,Hit and Run,804,Agassiz,"0 Exeter Park, Cambridge, MA"
2011-06383,8/19/2011 8:38,08/19/2011 02:00 - 07:00,Housebreak,702,Riverside,"0 JAY STREET, Cambridge, MA"
2011-06385,8/19/2011 9:37,06/22/2011 19:30 - 20:00,Street Robbery,1002,West Cambridge,"0 CHURCH STREET, Cambridge, MA"
2011-06386,8/19/2011 10:46,08/19/2011 00:45 - 11:00,Hit and Run,404,Area 4,"100 HAMPSHIRE STREET, Cambridge, MA"
2011-06388,8/19/2011 12:14,08/18/2011 18:00 - 08/19/2011 04:00,Mal. Dest. Property,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2011-06389,8/19/2011 12:56,8/19/2011 12:56,Simple Assault,411,Area 4,"100 BISHOP ALLEN DRIVE, Cambridge, MA"
2011-06390,8/19/2011 13:04,08/18/2011 11:00 - 08/19/2011 13:03,Shoplifting,708,Riverside,"0 JFK STREET, Cambridge, MA"
2011-06391,8/19/2011 13:07,08/01/2009 00:00 - 08/18/2011 16:45,Larceny from Building,502,Cambridgeport,"100 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06392,8/19/2011 14:23,8/19/2011 14:00,Forgery,104,East Cambridge,"100 GORE STREET, Cambridge, MA"
2011-06393,8/19/2011 1:39,8/19/2011 1:40,Aggravated Assault,1002,West Cambridge,"100 CHURCH STREET, Cambridge, MA"
2011-06395,8/19/2011 15:00,08/19/2011 02:00 - 13:30,Housebreak,702,Riverside,"100 JAY STREET, Cambridge, MA"
2011-06398,8/19/2011 16:17,08/19/2011 16:15 - 16:17,Simple Assault,411,Area 4,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06399,8/19/2011 16:41,8/19/2011 18:03,Domestic Dispute,706,Riverside,"0 PUTNAM GDNS, Cambridge, MA"
2011-06402,8/19/2011 17:24,08/19/2011 17:15 - 18:57,Auto Theft,506,Cambridgeport,"200 FRANKLIN STREET, Cambridge, MA"
2011-06405,8/19/2011 19:15,08/19/2011 19:30 - 19:35,Hit and Run,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2011-06406,8/19/2011 20:02,8/19/2011 20:00,Simple Assault,1004,West Cambridge,"0 GARDEN STREET, Cambridge, MA"
2011-06407,8/19/2011 20:30,8/19/2011 20:30,Drugs,601,Mid-Cambridge,"MASSACHUSETTS Avenue & PROSPECT STREET, Cambridge, MA"
2011-06408,8/19/2011 21:10,08/19/2011 21:00 - 21:15,Larceny from MV,510,Cambridgeport,"300 RIVER STREET, Cambridge, MA"
2011-06410,8/19/2011 22:23,08/19/2011 22:00 - 22:59,Domestic Dispute,507,Cambridgeport,"100 FAIRMONT STREET, Cambridge, MA"
2011-06411,8/19/2011 23:48,08/19/2011 23:30 - 23:50,Domestic Dispute,305,Inman/Harrington,"200 ELM STREET, Cambridge, MA"
2011-06412,8/20/2011 0:54,8/20/2011 0:53,Domestic Dispute,1002,West Cambridge,"0 CHURCH STREET, Cambridge, MA"
2011-06413,8/20/2011 1:28,8/20/2011 1:27,Aggravated Assault,504,Cambridgeport,"LANDSDOWNE STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2011-06416,8/20/2011 4:00,8/20/2011 4:00,Disorderly,613,Mid-Cambridge,"1500 CAMBRIDGE STREET, Cambridge, MA"
2011-06418,8/20/2011 8:15,08/20/2011 07:30 - 08:05,Housebreak,1012,West Cambridge,"500 HURON Avenue, Cambridge, MA"
2011-06419,8/20/2011 10:13,8/19/2011 10:10,Hit and Run,508,Cambridgeport,"FAIRMONT STREET & MAGAZINE STREET, Cambridge, MA"
2011-06420,8/20/2011 10:17,08/19/2011 23:30 - 08/20/2011 09:45,Larceny of Bicycle,104,East Cambridge,"300 MONSIGNOR OBRIEN HIGHWAY, Cambridge, MA"
2011-07196,9/16/2011 7:26,9/16/2011 7:26,Warrant Arrest,509,Cambridgeport,"0 ROCKINGHAM STREET, Cambridge, MA"
2011-06423,8/20/2011 12:21,08/18/2011 11:49 - 08/20/2011 11:49,Mal. Dest. Property,607,Mid-Cambridge,"0 PRESCOTT STREET, Cambridge, MA"
2011-06424,8/20/2011 12:48,7/25/2011 12:00,Forgery,706,Riverside,"0 DODGE STREET, Cambridge, MA"
2011-06425,8/20/2011 12:43,08/19/2001 12:00 - 08/20/2011 11:00,Mal. Dest. Property,1109,North Cambridge,"300 RINDGE Avenue, Cambridge, MA"
2011-06426,8/20/2011 12:41,08/17/2011 15:00 - 08/19/2011 13:24,Housebreak,1012,West Cambridge,"300 LAKEVIEW Avenue, Cambridge, MA"
2011-06427,8/20/2011 14:15,8/20/2011 14:10,Domestic Dispute,605,Mid-Cambridge,"0 ROBERTS ROAD , Cambridge, MA"
2011-06428,8/20/2011 15:26,08/18/2011 20:15 - 21:15,Larceny from MV,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2011-06431,8/20/2011 16:05,08/19/2011 10:00 - 11:00,Larceny from Residence,405,Area 4,"100 CHERRY STREET, Cambridge, MA"
2011-06433,8/20/2011 18:46,08/20/2011 21:00 - 21:10,Threats,1202,Highlands,"0 LOOMIS STREET, Cambridge, MA"
2011-06436,8/20/2011 22:37,05/01/2011 22:37 - 08/20/2011 22:37,Harassment,704,Riverside,"200 WESTERN Avenue, Cambridge, MA"
2011-06437,8/20/2011 22:59,8/20/2011 22:55,Housebreak,506,Cambridgeport,"0 LOPEZ STREET, Cambridge, MA"
2011-06438,8/20/2011 23:47,8/21/2011 0:15,Warrant Arrest,1002,West Cambridge,"0 CHURCH STREET, Cambridge, MA"
2011-06439,8/21/2011 0:36,8/21/2011 0:36,Aggravated Assault,1109,North Cambridge,"100 JACKSON CIRCLE, Cambridge, MA"
2011-06440,8/21/2011 1:00,8/21/2011 1:00,Simple Assault,301,Inman/Harrington,"900 CAMBRIDGE STREET, Cambridge, MA"
2011-06441,8/21/2011 1:51,8/21/2011 1:50,Simple Assault,708,Riverside,"0 WINTHROP STREET, Cambridge, MA"
2011-06443,8/21/2011 4:02,8/21/2011 16:01,Violation of R.O.,1202,Highlands,"0 LOOMIS STREET, Cambridge, MA"
2011-06444,8/21/2011 6:10,8/21/2011 6:00,Simple Assault,105,East Cambridge,"0 GORE STREET PLACE, Cambridge, MA"
2011-06446,8/21/2011 11:43,08/20/2011 18:30 - 22:30,Larceny from MV,904,Peabody,"LINNAEAN STREET & RAYMOND STREET, Cambridge, MA"
2011-06447,8/21/2011 12:01,08/21/2011 11:35 - 11:40,Larceny of Bicycle,1012,West Cambridge,"200 LAKEVIEW Avenue, Cambridge, MA"
2011-06448,8/21/2011 12:17,08/21/2011 11:00 - 12:00,Larceny from MV,611,Mid-Cambridge,"0 QUINCY STREET, Cambridge, MA"
2011-06450,8/21/2011 15:30,8/21/2011 15:30,Domestic Dispute,411,Area 4,"100 BISHOP ALLEN DRIVE, Cambridge, MA"
2011-06452,8/21/2011 14:52,8/21/2011 14:55,Threats,1002,West Cambridge,"100 BRATTLE STREET, Cambridge, MA"
2011-06454,8/21/2011 16:24,8/21/2011 16:23,Simple Assault,405,Area 4,"0 BOARDMAN PLACE, Cambridge, MA"
2011-06455,8/21/2011 17:49,08/21/2011 17:00 - 17:48,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06457,8/21/2011 19:01,08/19/2011 20:00 - 22:30,Larceny from MV,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06458,8/21/2011 18:04,08/21/2011 18:00 - 18:03,Indecent Exposure,901,Peabody,"0 Cambridge Common, Cambridge, MA"
2011-06459,8/21/2011 19:34,8/19/2011 22:00,Larceny of Bicycle,904,Peabody,"HURON Avenue & Sherman STREET, Cambridge, MA"
2011-06460,8/21/2011 19:36,8/21/2011 19:35,Domestic Dispute,305,Inman/Harrington,"100 LINCOLN STREET, Cambridge, MA"
2011-06462,8/21/2011 23:34,08/18/2011 00:00 - 08/21/2011 00:00,Housebreak,508,Cambridgeport,"200 BROOKLINE STREET, Cambridge, MA"
2011-06463,8/22/2011 1:08,8/22/2011 1:08,Threats,103,East Cambridge,"100 MAIN STREET, Cambridge, MA"
2011-06464,8/22/2011 3:08,8/22/2011 3:05,Simple Assault,305,Inman/Harrington,"100 PLYMOUTH STREET, Cambridge, MA"
2011-06465,8/22/2011 7:18,08/21/2011 19:00 - 08/22/2011 07:00,Larceny from MV,105,East Cambridge,"100 FIFTH STREET, Cambridge, MA"
2011-06466,8/22/2011 8:01,08/22/2011 01:00 - 06:30,Housebreak,104,East Cambridge,"100 GORE STREET, Cambridge, MA"
2011-06467,8/22/2011 8:29,08/21/2011 23:00 - 08/22/2011 08:00,Housebreak,507,Cambridgeport,"0 UPTON STREET, Cambridge, MA"
2011-06468,8/22/2011 8:20,08/18/2011 08:00 - 08/22/2011 08:00,Harassment,907,Peabody,"100 GARDEN STREET, Cambridge, MA"
2011-06469,8/22/2011 9:27,08/22/2011 09:32 - 10:32,Hit and Run,403,Area 4,"100 HARVARD STREET, Cambridge, MA"
2011-06470,8/22/2011 12:03,08/21/2011 14:54 - 08/22/2011 13:45,Forgery,1002,West Cambridge," BRATTLE STREET, Cambridge, MA"
2011-06471,8/22/2011 13:28,08/22/2011 13:13 - 14:13,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06472,8/22/2011 15:28,8/22/2011 15:45,Phone Calls,905,Peabody,"0 Mount Vernon STREET, Cambridge, MA"
2011-06473,8/22/2011 16:09,08/14/2011 17:00 - 19:00,Larceny of Bicycle,103,East Cambridge,"0 Main STREET, Cambridge, MA"
2011-06474,8/22/2011 14:42,8/22/2011 14:41,Threats,805,Agassiz,"100 SACRAMENTO STREET, Cambridge, MA"
2011-06475,8/22/2011 17:10,8/22/2011 17:09,Simple Assault,501,Cambridgeport,"BROOKLINE STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2011-06478,8/22/2011 17:41,08/21/2011 18:02 - 08/22/2011 08:00,Larceny from MV,702,Riverside,"0 KINNAIRD STREET, Cambridge, MA"
2011-06480,8/22/2011 17:51,08/22/2011 12:00 - 18:00,Larceny of Bicycle,1002,West Cambridge,"GARDEN STREET & Massachusetts AVENUE, Cambridge, MA"
2011-06481,8/22/2011 18:01,08/17/2011 19:00 - 21:00,Larceny of Bicycle,1002,West Cambridge,"ELIOT STREET & Mount Auburn STREET, Cambridge, MA"
2011-06482,8/22/2011 17:54,8/20/2011 18:00,Hit and Run,913,Peabody,"500 CONCORD Avenue, Cambridge, MA"
2011-06483,8/22/2011 19:16,8/22/2011 19:15,Simple Assault,702,Riverside,"500 GREEN STREET, Cambridge, MA"
2011-06484,8/22/2011 19:49,8/22/2011 19:49,Housebreak,907,Peabody,"0 BOND STREET, Cambridge, MA"
2011-06485,8/22/2011 20:11,08/22/2011 09:00 - 20:00,Larceny from MV,1002,West Cambridge,"0 ELIOT STREET, Cambridge, MA"
2011-06486,8/22/2011 20:36,08/11/2011 00:00 - 08/18/2011 00:00,Larceny of Bicycle,105,East Cambridge,"200 GORE STREET, Cambridge, MA"
2011-06488,8/22/2011 23:45,8/22/2011 23:44,Disorderly,501,Cambridgeport,"BROOKLINE STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2011-06489,8/23/2011 2:03,08/23/2011 01:34 - 01:36,Violation of R.O.,1202,Highlands,"0 LOOMIS STREET, Cambridge, MA"
2011-06491,8/23/2011 2:05,08/23/2011 02:00 - 02:05,Housebreak,506,Cambridgeport,"100 PEARL STREET, Cambridge, MA"
2011-06492,8/23/2011 5:58,8/23/2011 5:58,Commercial Break,605,Mid-Cambridge,"100 KIRKLAND STREET, Cambridge, MA"
2011-06496,8/23/2011 8:36,08/22/2011 21:00 - 08/23/2011 09:14,Housebreak,107,East Cambridge,"200 THIRD STREET, Cambridge, MA"
2011-06498,8/23/2011 8:56,08/22/2011 08:30 - 17:00,Larceny of Bicycle,1003,West Cambridge,"100 JFK STREET, Cambridge, MA"
2011-06499,8/23/2011 10:55,7/20/2011 8:00,Mal. Dest. Property,1106,North Cambridge,"0 RICE STREET, Cambridge, MA"
2011-06500,8/23/2011 11:54,08/23/2011 11:30 - 12:06,Domestic Dispute,107,East Cambridge,"100 THORNDIKE STREET, Cambridge, MA"
2011-06501,8/23/2011 11:41,08/23/2011 11:00 - 11:30,Violation of R.O.,1202,Highlands,"0 LOOMIS STREET, Cambridge, MA"
2011-06502,8/23/2011 12:33,08/22/2011 21:30 - 08/23/2011 08:30,Larceny of Bicycle,304,Inman/Harrington,"0 BRISTOL STREET, Cambridge, MA"
2011-06505,8/23/2011 14:13,08/13/2010 00:01 - 08/13/2011 23:59,Larceny from Residence,907,Peabody,"0 CONCORD Avenue, Cambridge, MA"
2011-06506,8/23/2011 5:27,8/23/2011 5:26,Domestic Dispute,602,Mid-Cambridge,"900 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06509,8/23/2011 16:03,08/17/2011 21:15 - 22:00,Larceny of Bicycle,204,MIT,"300 VASSAR STREET, Cambridge, MA"
2011-06510,8/23/2011 16:24,08/22/2011 08:00 - 08/23/2011 16:54,Larceny from MV,1017,West Cambridge,"200 Mount Auburn STREET, Cambridge, MA"
2011-06512,8/23/2011 16:05,08/23/2011 16:05 - 16:30,Violation of H.O.,501,Cambridgeport,"400 Massachusetts Avenue, Cambridge, MA"
2011-06513,8/23/2011 18:13,07/23/2011 12:00 - 08/22/2011 12:00,Embezzlement,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06515,8/23/2011 19:26,08/23/2011 19:00 - 20:25,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06516,8/23/2011 20:45,08/22/2011 21:00 - 23:00,Larceny of Bicycle,304,Inman/Harrington,"0 LILAC COURT, Cambridge, MA"
2011-06517,8/23/2011 21:10,8/23/2011 21:10,Mal. Dest. Property,101,East Cambridge,"MUSEUM WAY & NORTH POINT BLVD, Cambridge, MA"
2011-06518,8/23/2011 20:10,08/23/2011 17:00 - 20:00,Larceny of Bicycle,1202,Highlands,"100 NORMANDY Avenue, Cambridge, MA"
2011-06522,8/24/2011 0:12,8/24/2011 0:11,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06523,8/24/2011 7:57,08/22/2011 22:30 - 08/25/2011 08:00,Larceny from MV,405,Area 4,"PINE STREET & WASHINGTON STREET, Cambridge, MA"
2011-06527,8/24/2011 10:23,8/24/2011 10:22,Forgery,105,East Cambridge,"100 SPRING STREET, Cambridge, MA"
2011-06528,8/24/2011 10:14,8/24/2011 10:40,Drugs,606,Mid-Cambridge,"CAMBRIDGE STREET & PRESCOTT STREET, Cambridge, MA"
2011-06529,8/24/2011 10:02,08/24/2011 09:00 - 09:30,Threats,205,MIT,"300 VASSAR STREET, Cambridge, MA"
2011-06530,8/24/2011 11:37,08/20/2011 12:00 - 08/21/2011 12:00,Larceny of Bicycle,605,Mid-Cambridge,"0 ROBERTS ROAD , Cambridge, MA"
2011-06531,8/24/2011 11:40,8/24/2011 11:39,Hit and Run,403,Area 4,"200 WINDSOR STREET, Cambridge, MA"
2011-06534,8/24/2011 13:55,08/24/2011 14:40 - 14:45,Hit and Run,804,Agassiz,"1900 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06536,8/24/2011 15:29,08/24/2011 10:30 - 11:00,Auto Theft,403,Area 4,"MAIN STREET & PORTLAND STREET, Cambridge, MA"
2011-06537,8/24/2011 14:48,08/17/2011 00:00 - 08/18/2011 00:00,Larceny from Residence,905,Peabody,"0 LINNAEAN STREET, Cambridge, MA"
2011-06538,8/24/2011 14:00,08/24/2011 08:30 - 14:00,Housebreak,603,Mid-Cambridge,"0 CHATHAM STREET, Cambridge, MA"
2011-06539,8/24/2011 13:50,08/24/2011 11:00 - 13:00,Larceny from Residence,605,Mid-Cambridge,"100 ROBERTS ROAD , Cambridge, MA"
2011-06542,8/24/2011 17:23,08/17/2011 08:00 - 17:00,Larceny from Residence,1004,West Cambridge,"0 GARDEN STREET, Cambridge, MA"
2011-06545,8/24/2011 18:08,08/24/2011 17:45 - 18:00,Larceny from Building,706,Riverside,"200 BANKS STREET, Cambridge, MA"
2011-06546,8/24/2011 19:00,08/24/2011 19:00 - 19:30,Larceny from Person,708,Riverside,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06547,8/24/2011 20:39,8/24/2011 21:37,Mal. Dest. Property,501,Cambridgeport,"0 CENTRAL SQUARE, Cambridge, MA"
2011-06548,8/24/2011 21:08,8/24/2011 21:08,Shoplifting,411,Area 4,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06549,8/24/2011 22:59,08/24/2011 18:00 - 23:30,Mal. Dest. Property,108,East Cambridge,"BENT STREET & SECOND STREET, Cambridge, MA"
2011-06550,8/24/2011 22:42,08/24/2011 23:25 - 23:35,Warrant Arrest,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2011-06553,8/25/2011 3:03,08/25/2011 00:00 - 02:40,Housebreak,105,East Cambridge,"0 FIFTH STREET, Cambridge, MA"
2011-06555,8/25/2011 8:05,08/25/2011 02:30 - 07:30,Auto Theft,804,Agassiz,"0 SACRAMENTO STREET, Cambridge, MA"
2011-06556,8/25/2011 8:57,08/24/2011 21:30 - 08/25/2011 08:30,Larceny of Bicycle,1111,North Cambridge,"0 MADISON Avenue, Cambridge, MA"
2011-06557,8/25/2011 9:38,08/25/2011 09:30 - 09:38,Larceny of Services,804,Agassiz,"1700 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06558,8/25/2011 10:43,08/25/2011 10:50 - 11:00,Larceny of Bicycle,704,Riverside,"300 WESTERN Avenue, Cambridge, MA"
2011-06559,8/25/2011 11:54,8/25/2011 11:25,Hit and Run,1202,Highlands,"700 CONCORD Avenue, Cambridge, MA"
2011-06560,8/25/2011 12:29,08/24/2011 23:20 - 08/25/2011 06:30,Mal. Dest. Property,302,Inman/Harrington,"1200 CAMBRIDGE STREET, Cambridge, MA"
2011-06562,8/25/2011 13:40,8/24/2011 16:30,Threats,1108,North Cambridge,"300 RINDGE Avenue, Cambridge, MA"
2011-06563,8/25/2011 13:53,08/24/2011 22:30 - 23:30,Larceny from Building,504,Cambridgeport,"0 BROOKLINE STREET, Cambridge, MA"
2011-06564,8/25/2011 15:39,08/23/2011 17:40 - 00:00,Larceny from Building,701,Riverside,"0 PLEASANT STREET, Cambridge, MA"
2011-06566,8/25/2011 16:36,8/25/2011 17:00,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06569,8/25/2011 16:29,8/25/2011 16:29,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06570,8/25/2011 16:49,8/25/2011 16:48,Domestic Dispute,508,Cambridgeport,"ERIE STREET & PEARL STREET, Cambridge, MA"
2011-06571,8/25/2011 17:11,8/25/2011 18:00,Larceny from Person,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06572,8/25/2011 18:57,08/25/2011 10:30 - 16:30,Larceny of Bicycle,704,Riverside,"0 POND PLACE, Cambridge, MA"
2011-06574,8/25/2011 19:34,08/25/2011 19:30 - 19:35,Violation of R.O.,1202,Highlands,"0 LOOMIS STREET, Cambridge, MA"
2011-06576,8/25/2011 19:56,08/15/2011 00:00 - 08/20/2011 00:00,Larceny of Plate,509,Cambridgeport,"0 TUFTS STREET, Cambridge, MA"
2011-06579,8/25/2011 21:35,8/25/2011 21:34,OUI,708,Riverside,"0 JFK STREET, Cambridge, MA"
2011-06581,8/25/2011 20:45,08/25/2011 20:15 - 20:30,Larceny from MV,103,East Cambridge,"0 Broadway, Cambridge, MA"
2011-06582,8/25/2011 23:22,8/25/2011 23:22,OUI,610,Mid-Cambridge,"200 PROSPECT STREET, Cambridge, MA"
2011-06583,8/26/2011 1:54,8/26/2011 1:20,Larceny from Person,304,Inman/Harrington,"BERKSHIRE STREET & CAMBRIDGE STREET, Cambridge, MA"
2011-06584,8/26/2011 4:18,8/26/2011 0:45,Simple Assault,701,Riverside,"700 MASSACHUSETTS Avenue, Cambridge, MA"
2011-06585,8/26/2011 9:47,8/26/2011 9:45,Domestic Dispute,901,Peabody,"GARDEN STREET & Cambridge Common, Cambridge, MA"
2011-06586,8/26/2011 9:37,08/25/2011 09:00 - 08/26/2011 09:00,Mal. Dest. Property,304,Inman/Harrington,"900 CAMBRIDGE STREET, Cambridge, MA"
2011-06588,8/26/2011 10:36,08/26/2011 08:40 - 10:30,Threats,403,Area 4,"0 NEWTOWNE COURT, Cambridge, MA"
2011-06589,8/26/2011 11:22,8/26/2011 11:30,Missing Person,405,Area 4,"100 COLUMBIA STREET, Cambridge, MA"
2011-06592,8/26/2011 11:07,08/26/2011 09:15 - 12:03,Mal. Dest. Property,708,Riverside,"0 LINDEN STREET, Cambridge, MA"
2011-06593,8/26/2011 11:36,8/26/2011 11:35,Domestic Dispute,405,Area 4,"200 HARVARD STREET, Cambridge, MA"
2011-06594,8/26/2011 12:30,08/26/2011 12:00 - 12:29,Domestic Dispute,107,East Cambridge,"100 THIRD STREET, Cambridge, MA"
2011-06595,8/26/2011 12:32,8/26/2011 13:36,Domestic Dispute,304,Inman/Harrington,"0 MARNEY STREET, Cambridge, MA"
2011-06598,8/26/2011 15:12,08/26/2011 15:00 - 15:12,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06599,8/26/2011 15:17,8/26/2011 15:17,Shoplifting,102,East Cambridge,"100 Cambridgeside PLACE, Cambridge, MA"
2011-06600,8/26/2011 15:48,8/26/2011 15:47,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-06601,8/26/2011 14:52,08/26/2011 14:00 - 18:57,Threats,1101,North Cambridge,"0 Porter SQUARE, Cambridge, MA"
2011-06602,8/26/2011 15:39,08/24/2011 17:00 - 08/25/2011 00:00,Aggravated Assault,411,Area 4,"0 BISHOP ALLEN DRIVE, Cambridge, MA"
2011-06603,8/26/2011 16:20,08/13/2011 09:30 - 08/26/2011 15:30,Housebreak,604,Mid-Cambridge,"400 BROADWAY, Cambridge, MA"
2011-06604,8/26/2011 17:20,8/26/2011 17:20,Larceny of Bicycle,107,East Cambridge,"0 LOPEZ Avenue, Cambridge, MA"
